"skills","job_count","avg_salary"
"pyspark","2","208172"
"bitbucket","2","189155"
"gitlab","3","154500"
"swift","2","153750"
"jupyter","3","152777"
"pandas","9","151821"
"numpy","5","143513"
"databricks","10","141907"
"linux","2","136508"
"kubernetes","2","132500"
"atlassian","5","131162"
"airflow","5","126103"
"scikit-learn","2","125781"
"jenkins","3","125436"
"scala","5","124903"
"postgresql","4","123879"
"gcp","3","122500"
"microstrategy","2","121619"
"crystal","5","120100"
"go","27","115320"
"confluence","11","114210"
"db2","4","114072"
"hadoop","22","113193"
"snowflake","37","112948"
"git","5","112000"
