"job_id","job_title_short","company_name","job_location","job_schedule_type","salary_year_avg","posting_date","required_skills"
226942,"Data Analyst","Mantys","Anywhere","Full-time","650000.0","2023-02-20",""
547382,"Data Analyst","Meta","Anywhere","Full-time","336500.0","2023-08-23",""
552322,"Data Analyst","AT&T","Anywhere","Full-time","255829.5","2023-06-18","sql, power bi, powerpoint, tableau, excel, jupyter, pyspark, pandas, aws, databricks, azure, r, python"
99305,"Data Analyst","Pinterest Job Advertisements","Anywhere","Full-time","232423.0","2023-12-05","tableau, hadoop, r, python, sql"
1021647,"Data Analyst","Uclahealthcareers","Anywhere","Full-time","217000.0","2023-01-17","oracle, tableau, flow, crystal, sql"
168310,"Data Analyst","SmartAsset","Anywhere","Full-time","205000.0","2023-08-09","excel, python, gitlab, tableau, go, snowflake, pandas, sql, numpy"
731368,"Data Analyst","Inclusively","Anywhere","Full-time","189309.0","2023-12-07","python, snowflake, tableau, confluence, power bi, aws, oracle, sql, sap, jenkins, bitbucket, atlassian, jira, azure"
310660,"Data Analyst","Motional","Anywhere","Full-time","189000.0","2023-01-05","r, bitbucket, atlassian, jira, confluence, sql, python, git"
1749593,"Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11","pandas, gitlab, tableau, sql, python, go, snowflake, numpy, excel"
387860,"Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","184000.0","2023-06-09","python, r, sql"
